"","V1","V2","V3","V4","V5","V6"
"72",0.292146695481001,5.34794075913862,5.27094901027651,1.61800564930349,2.13430057701156,823.41260944101
"343",0.292146695481001,4.67406222823919,6.88748609876978,1.87372464728218,2.13430057701156,826.317868432447
"382",0.292146695481001,4.39680197139872,7.43839104336389,1.8465499606996,2.13430057701156,828.92622032646
"92",0.292146695481001,4.91685975692136,5.47161699344641,1.87372464728218,2.13430057701156,829.785513118097
"464",0.292146695481001,4.42264692560334,6.88748609876978,1.87372464728218,2.13430057701156,830.359946563048
"356",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"286",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"105",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"236",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"425",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"269",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"91",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"56",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"321",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"274",0.292146695481001,4.39680197139872,6.88748609876978,1.87372464728218,2.13430057701156,830.860949309194
"411",0.182458127464271,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,831.752835333124
"255",0.182458127464271,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,831.752835333124
"375",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"76",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"272",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"21",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"369",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"270",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"326",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"287",0.292146695481001,4.39680197139872,6.39373660760812,1.87372464728218,2.13430057701156,833.274815345786
"493",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,834.159751071356
"344",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,834.159751071356
"361",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,834.159751071356
"280",0.292146695481001,4.67406222823919,5.47161699344641,1.87372464728218,2.13430057701156,834.159751071356
"149",0.292146695481001,4.74315878141945,5.27094901027651,1.61800564930349,2.13430057701156,834.710661417214
"217",0.292146695481001,4.87384951065025,5.31762401408939,3.17582496930905,2.09982159140666,837.179673304125
"350",0.292146695481001,4.39680197139872,6.88748609876978,2.14511421716791,2.13430057701156,841.024832430759
"181",0.292146695481001,4.39680197139872,5.27094901027651,1.8656082358758,2.13430057701156,843.002907461561
"109",0.292146695481001,4.39680197139872,5.27094901027651,1.8656082358758,2.13430057701156,843.002907461561
"417",0.292146695481001,4.39680197139872,5.27094901027651,1.8465499606996,2.13430057701156,843.008849273142
"112",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,843.014520973154
"104",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,843.014520973154
"37",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,843.014520973154
"54",0.292146695481001,4.39680197139872,5.27094901027651,1.87372464728218,2.13430057701156,843.014520973154
"83",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"90",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"454",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"248",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"41",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"277",0.292146695481001,4.39680197139872,5.27094901027651,1.61800564930349,2.13430057701156,846.256636617181
"1",0.292146695481001,4.87384951065025,5.31762401408939,3.17582496930905,2.13430057701156,847.990403363895
"170",0.292146695481001,4.87384951065025,5.31762401408939,3.17582496930905,2.13430057701156,847.990403363895
"455",0.292146695481001,4.67406222823919,6.88748609876978,3.17582496930905,2.13430057701156,849.406256641364
"164",0.292146695481001,4.67406222823919,6.88748609876978,3.17582496930905,2.13430057701156,849.406256641364
"251",0.292146695481001,4.67406222823919,5.47161699344641,2.79127375066604,2.13430057701156,849.532312136036
