"","x"
"1",1165.51312491612
"2",1165.51312491612
"3",1035.49195732547
"4",1035.49195732547
"5",1035.49195732547
"6",1011.2741476099
"7",1011.2741476099
"8",1011.2741476099
"9",1011.2741476099
"10",1011.2741476099
"11",1011.2741476099
"12",1011.2741476099
"13",1011.2741476099
"14",1011.2741476099
"15",1011.2741476099
"16",1011.2741476099
"17",1011.2741476099
"18",1004.76363722318
"19",1004.76363722318
"20",1002.820852855
