"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"21",-1.9438828357257,2.16658255644153,-0.586902311739561,-0.579793932848292,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,1002.820852855
"62",-1.9438828357257,2.16658255644153,-0.586902311739561,-0.579793932848292,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,1002.820852855
"198",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.301981361853589,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,1004.76363722318
"141",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.301981361853589,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,1004.76363722318
"24",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.301981361853589,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,1004.76363722318
"51",-1.9438828357257,1.26640309343758,-0.586902311739561,-0.579793932848292,4.43108315893934,0.130569462753872,2.16144439505601,-1.8757331422085,Inf
"177",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.579793932848292,6.55352428739932,-2.1012879980139,1.70099502301665,-1.8757331422085,Inf
"102",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.301981361853589,4.43108315893934,-2.30897784395892,1.70099502301665,-1.20834402150865,Inf
"156",-2.42194729390746,1.51932521730304,-0.586902311739561,-1.84470738728054,4.43108315893934,0.130569462753872,2.16144439505601,-1.8757331422085,Inf
"119",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.579793932848292,6.55352428739932,-2.1012879980139,1.70099502301665,-1.20834402150865,Inf
"138",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.579793932848292,6.55352428739932,-2.1012879980139,1.70099502301665,-1.20834402150865,Inf
"114",-2.42194729390746,1.26640309343758,-0.586902311739561,-0.579793932848292,6.55352428739932,0.115339331328023,2.16144439505601,-1.8757331422085,Inf
"67",-1.9438828357257,1.26640309343758,-0.586902311739561,-0.579793932848292,4.43108315893934,-2.1012879980139,2.97992536207279,-1.20834402150865,Inf
"167",-1.9438828357257,1.26640309343758,-0.586902311739561,-0.301981361853589,4.43108315893934,0.799541009102344,2.16144439505601,-1.8757331422085,Inf
"57",-1.9438828357257,1.26640309343758,-0.586902311739561,-0.579793932848292,4.43108315893934,0.130569462753872,1.70099502301665,-1.20834402150865,Inf
