"","V1","V2","V3","V4"
"88",-0.103157792719564,2.39066241117821,1.66757637396636,1002.95177457296
"21",-0.103157792719564,2.39066241117821,1.66757637396636,1002.95177457296
"29",-0.188053464367955,2.20833863845433,1.73317271961571,1011.94447101983
"23",-0.214013988759461,2.20833863845433,1.73317271961571,1014.03862106998
"59",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"56",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"98",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"68",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"28",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"18",-0.103157792719564,2.20833863845433,1.66757637396636,1021.35935592528
"85",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"24",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"53",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"71",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"91",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"62",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"16",-0.103157792719564,1.60306146502565,1.66757637396636,Inf
"19",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"80",-0.103157792719564,2.2603659324868,1.73317271961571,Inf
"93",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"27",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"86",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"75",-0.214013988759461,2.20833863845433,1.73317271961571,Inf
"74",-0.66061210953755,2.2603659324868,1.73317271961571,Inf
"8",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"44",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"35",-0.103157792719564,3.51079890296533,1.66757637396636,Inf
"45",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"92",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"50",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"41",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"33",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"90",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"55",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"78",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"38",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"76",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"51",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"81",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"39",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"46",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"13",-0.103157792719564,2.39066241117821,1.66757637396636,Inf
"7",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"3",-0.103157792719564,2.2603659324868,1.73317271961571,Inf
"58",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"54",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"99",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"100",-0.214013988759461,2.20833863845433,1.73317271961571,Inf
"73",-0.103157792719564,2.2603659324868,1.73317271961571,Inf
"40",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"12",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"17",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"63",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"66",-0.0272336064810244,2.20833863845433,1.73317271961571,Inf
"47",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"1",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"22",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"34",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"5",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"64",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"83",0.977298531516341,2.20833863845433,1.66757637396636,Inf
"82",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"94",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"36",-0.103157792719564,1.8843796843847,1.66757637396636,Inf
"26",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"15",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"65",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"61",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"67",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"4",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"77",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"87",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"52",-0.642638734502226,2.20833863845433,1.73317271961571,Inf
"25",-0.103157792719564,2.2603659324868,1.73317271961571,Inf
"30",-0.103157792719564,2.39066241117821,1.66757637396636,Inf
"43",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"60",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"2",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"95",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"79",-0.103157792719564,2.20833863845433,1.66757637396636,Inf
"31",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"57",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"32",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"48",-0.103157792719564,2.20833863845433,1.73317271961571,Inf
"69",-0.103157792719564,2.2603659324868,1.73317271961571,Inf
