"","V1","V2","V3","V4","V5","V6","V7"
"64",0.797487430766487,2.37581351748527,3.79521149424041,2.62598676566186,1.8526263754092,4.42519626319787,862.667129069159
"149",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,862.738622141608
"102",0.797487430766487,2.37581351748527,3.88733301028683,1.91199832330973,1.8526263754092,4.42519626319787,862.776138895136
"155",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"90",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"142",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"160",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"131",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"16",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"193",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,863.118875574692
"122",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.8526263754092,4.42519626319787,863.243750245047
"118",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,863.413192039185
"42",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,863.413192039185
"150",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,863.413192039185
"194",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,863.413192039185
"6",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,863.914594627298
"59",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,863.914594627298
"60",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.20328746048887,863.946664853306
"168",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,864.054669505554
"46",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,864.054669505554
"157",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"97",0.797487430766487,2.37581351748527,4.32391750719861,1.76029266077947,1.8526263754092,3.90644023812446,Inf
"187",0.692523696381697,2.37581351748527,4.32391750719861,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"167",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"41",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.42519626319787,Inf
"8",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"11",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.20328746048887,Inf
"69",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"77",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"20",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"26",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"175",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.8526263754092,3.90644023812446,Inf
"190",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"62",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"44",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"171",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"19",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"74",0.797487430766487,2.37581351748527,3.88733301028683,1.76029266077947,1.8526263754092,4.42519626319787,Inf
"191",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,2.42329184053311,4.42519626319787,Inf
"113",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"108",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.93496583119178,4.42519626319787,Inf
"93",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"25",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"45",0.797487430766487,2.37581351748527,4.32391750719861,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"95",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.00723518065745,Inf
"196",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"199",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.69876162136475,Inf
"180",0.692523696381697,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"143",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"37",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"163",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"148",0.797487430766487,2.08578434159565,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"115",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"9",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"84",0.797487430766487,2.37581351748527,3.88733301028683,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"63",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"125",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"112",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.42519626319787,Inf
"48",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"158",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"136",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"151",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"192",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"164",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"40",0.797487430766487,2.37581351748527,3.79521149424041,2.62598676566186,1.93496583119178,4.20328746048887,Inf
"96",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,2.11350553405126,Inf
"186",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"189",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.20328746048887,Inf
"65",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"22",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"120",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"110",0.797487430766487,2.37581351748527,4.32391750719861,1.76029266077947,1.8526263754092,3.90644023812446,Inf
"159",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"140",0.797487430766487,2.37581351748527,4.32391750719861,2.62598676566186,1.8526263754092,3.96736319000445,Inf
"36",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"47",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"86",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.20328746048887,Inf
"104",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"169",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"101",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"1",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"51",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.40263376725919,Inf
"126",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"29",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"178",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"107",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"57",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"174",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"66",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"121",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.10773006597373,4.42519626319787,Inf
"182",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.93496583119178,4.59896988851989,Inf
"188",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"146",0.797487430766487,2.37581351748527,4.32391750719861,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"119",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"152",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,4.00723518065745,Inf
"55",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"198",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.41769250685837,Inf
"134",0.692523696381697,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"2",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"24",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"145",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"195",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"54",0.797487430766487,2.37581351748527,3.88733301028683,0.684982505332954,1.8526263754092,3.90644023812446,Inf
"78",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"184",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.93496583119178,4.42519626319787,Inf
"139",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"154",0.797487430766487,2.37581351748527,4.32391750719861,2.74143243095366,1.8526263754092,4.42519626319787,Inf
"200",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.42519626319787,Inf
"100",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"137",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"185",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"14",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"109",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"67",0.797487430766487,2.37581351748527,4.32391750719861,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"88",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.20328746048887,Inf
"81",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"177",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"91",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.20328746048887,Inf
"82",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"10",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"58",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"99",0.797487430766487,3.87554530725695,4.32391750719861,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"181",0.692523696381697,2.37581351748527,4.32391750719861,1.68323891416978,1.93496583119178,4.42519626319787,Inf
"39",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"127",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"75",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"31",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.93496583119178,4.20328746048887,Inf
"80",0.797487430766487,2.37581351748527,4.32391750719861,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"32",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"27",0.797487430766487,2.37581351748527,3.79521149424041,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"124",0.797487430766487,2.37581351748527,3.88733301028683,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"4",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.93496583119178,3.90644023812446,Inf
"89",0.797487430766487,2.37581351748527,2.52092322268577,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"49",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,2.53216610598326,3.90644023812446,Inf
"128",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,3.90644023812446,Inf
"83",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"170",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"79",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,4.42519626319787,Inf
"13",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"28",0.797487430766487,3.21229366857473,3.88733301028683,1.68323891416978,1.8526263754092,4.42519626319787,Inf
"176",0.692523696381697,2.37581351748527,3.88733301028683,1.91199832330973,1.8526263754092,4.42519626319787,Inf
"114",0.797487430766487,2.37581351748527,3.79521149424041,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"179",0.797487430766487,2.37581351748527,4.32391750719861,1.76029266077947,1.93496583119178,4.42519626319787,Inf
"130",0.797487430766487,2.37581351748527,3.88733301028683,2.62598676566186,1.8526263754092,3.90644023812446,Inf
"71",0.797487430766487,2.37581351748527,4.32391750719861,1.68323891416978,1.8526263754092,4.00723518065745,Inf
"135",0.797487430766487,2.37581351748527,4.32391750719861,2.62598676566186,1.8526263754092,3.90644023812446,Inf
