"","x"
"1",15225.2579394441
"2",4398.24367471984
"3",3110.77081292549
"4",2467.13165271953
"5",2543.09492565423
"6",1984.2135600376
"7",1370.73582321251
"8",1475.99535490726
"9",1963.33121976411
"10",1279.6551979087
"11",1433.05790467411
"12",1169.94284778429
"13",1244.1070183224
"14",1164.38785261522
"15",1229.82868563003
"16",1253.86282593593
"17",1160.97793411862
"18",1281.69767129857
"19",1171.61203327384
"20",1275.60444234504
