,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,C14Cor,bp,optional
59,59,Miri Qalat,Pakistan,Baluchistan,26.033333,63,Tengberg (1999),5090,100,,,Gif-8508,Besenval (1997),"Period II, Level IV",,Yes,NA,5822,TRUE
126,999,Mitathal,India,Haryana,28.891718,76.169803,L,4330,214,No,Charcoal,PRL-292,"S2, IAR76-77","Period IIB, Punjab, Harappan, Trench MTL2, Locus O-V, Layer 4",HARAPPAN,Yes,NA,4930,TRUE
160,9999,"MK, Sada",,Yemen,13.9,44.7667,,6250,90,,,AXX-xx53,,,,,,,
60,60,Mohenjo-daro,Pakistan,Sind,27.325176,68.136612,L,4030,64,No,Charred door jamb,P-1179,S2,"Harappan levels, Harappan",,Yes,NA,4515,TRUE
61,61,Mundigak,Afghanistan,Kandahar,31.963854,65.511447,L,5095,107,null,null,TF-1129,S2,,,,4951,5828,TRUE
192,9999,Munhata,,Israel,32.62,35.5511,,7330,70,,charcoal,Ly-4927,,,,,,,
243,9999,Mureybet,,Syria,36.05,38.2,,10215,117,,charcoal,P-1217,,,,,,,
173,9999,Mushki,,Iran,29.85,52.75,,8640,120,,soil,TK-34,,,,,,,
127,999,Nageswar,India,Gujarat,22.333333,69.1,Google Earth,3645,60,,Charcoal,BM-2611,Herman 1996,"Mature Harappan, Trench 1, Layer 7, Depth 180 cm",HARAPPAN,Yes,NA,3967,TRUE
128,999,Nagwada,India,Gujarat,23.333333,71.683333,Google Earth,3810,80,,Charcoal,A-4555,Herman 1996,"Mature Harappan, Trench I?, Layer 5",HARAPPAN,Yes,NA,4206,TRUE
190,9999,Nahal Issaron,,Israel,29.8962,35.0141,,6460,80,,,Pta-2999,,,,,,,
129,999,Navdatoli,India,Madhya Pradesh,22.16311,75.583548,Google Earth,4250,69,No,null,P-476,PR2,"Phase II (Malwa Ware, and a small amount of Jorwe Ware)",MALWA Chalco; maybe choose a later date,Yes,NA,4781,TRUE
178,9999,Nemrik 9,,Iraq,36.72,42.88,,10070,120,,charcoal,GD-6148,,,,,,,
191,9999,Netiv Hagdud,,Israel,32,35.42,,9970,150,,,RT-762C,,,,,,,
257,9999,Nevali Cori,,Turkey,37.5833,38.65,,9280,55,,,OxA-8303,,,,,,,
62,62,Nevasa,India,Maharashtra,19.550674,74.927977,Google Earth,3205,110,No,null,TF-40,PR2,Jorwe,Maharashtra Chalco,Yes,NA,3422,TRUE
186,9999,Nizzanim,,Israel,31.7167,34.6333,,6740,90,,bone,Hv-8509,,,,,,,
130,999,Padri,India,Gujarat,21.339167,72.108889,L,4130,150,No,Charcoal,PRL-1534,IAR91-92,"Harappan Culture, Trench J2, Layer 6, Locus 152",HARAPPAN,Yes,NA,4643,TRUE
63,63,Paiyampalli,India,Tamil Nadu,12.55,78.416667,AGK2,3675,105,null,Charcoal,TF-827,"PR2, FBK, IAR68-69",,,,3571,4015,TRUE
64,64,Palavoy,India,Andhra Pradesh,14.516667,77.15,AGK,3920,100,null,Charcoal,TF-701,"PR2, IAR67-68",,,,3809,4347,TRUE
65,65,Pandu Rajar Dhibi,India,West Bengal,23.916667,87.65,Google Earth,3130,110,null,Charcoal,PRL-1184,"IAR90-91, IAR88-89",,,,3042,3326,TRUE
66,66,Piklihal,India,Karnataka,15.965704,76.450238,Google Earth,3445,40,Yes,Seed: Lens culinaris,BA-05772,FH,3348 originally,,,3348,3704,TRUE
67,67,Pirak,Pakistan,Baluchistan,29.5,67.9,AGK,4202,290,null,Charcoal,Ly-1641,S2,,,,4083,4736,TRUE
68,68,Polakonda,India,Andhra Pradesh,17.7,79.433333,RVS,3355,120,null,Wood charcoal,BS-98,"PR2, IAR78-79",,,,3260,3602,TRUE
69,69,Psideli Tepe,Iran,West Azarbaijan,37,45.483333,M,5638,85,null,Ashy soil,P-505,M,,,,5638,6428,TRUE
165,9999,Qadesh Barnea 3,,Egypt,30.65,34.4,,7530,100,,charcoal,SMU-662,,,,,,,
194,9999,Qanah,,Israel,32.1167,35.8833,,7050,78,,charcoal,RT-1544,,,,,,,
,70,Qermez Dere,Iraq,Ninawa,36.371291,42.451447,Google Earth,10145,90,null,Seed (Lens sp.),OxA-3752,AF,,,,10145,,
156,9999,Qummah-3,,Yemen,16.7022,42.1183,,5730,90,,,Beta-23578,,,,,,,
140,9999,Qurum North 1,,Oman,23.6133,58.5933,,5580,160,,,Hv-14212,,,,,,,
226,9999,Rahub,,Jordan,32.6167,35.9333,,7480,90,,charcoal,GrN-14539,,,,,,,
236,9999,Ramad,,Syria,33.45,36.083,,7880,55,,charcoal,GrN-4823,,,,,,,
71,71,Rana Ghundai,Pakistan,Baluchistan,30.4,68.75,L,5747,60,null,null,P-2148,S2,,,,5585,6545,TRUE
134,9999,Ras al-Hamra 7,,Oman,23.1206,57.2831,,7065,105,,,Hv-10926,,,,,,,
133,9999,Ras al-Jins 37,,Oman,25.8789,56.0236,,6070,70,,,Gif-9819,,,,,,,
235,9999,Ras Shamra,,Syria,35.5833,35.75,,8364,101,,,P-460,,,,,,,
202,9999,Reu'el,,Israel,31,34.8,,8720,70,,,Pta-3137,,,,,,,
